"","WELLNAME","FLUID","PROP_CORR","VISC_CORR","PVT_IS_MATCHED","OilBubpnt","OilSolgor","OilOilfvf","OilOilvis","GasZfact","GasGasfvf","GasGasvis","ConDewpnt","ConCgr","ConZFact","ConGasfvf","ConGasvis","OilBubpnt_p1","OilBubpnt_p2","OilBubpnt_sd","OilSolgor_p1","OilSolgor_p2","OilSolgor_sd","OilOilfvf_p1","OilOilfvf_p2","OilOilfvf_p3","OilOilfvf_p4","OilOilfvf_sd","OilOilvis_p1","OilOilvis_p2","OilOilvis_sd","GasZfact_p1","GasZfact_p2","GasZfact_sd","GasGasfvf_p1","GasGasfvf_p2","GasGasfvf_sd","GasGasvis_p1","GasGasvis_p2","GasGasvis_sd","ConDewpnt_p1","ConDewpnt_p2","ConDewpnt_sd","ConCgr_p1","ConCgr_p2","ConCgr_sd","ConZFact_p1","ConZFact_p2","ConZFact_sd","ConGasfvf_p1","ConGasfvf_p2","ConGasfvf_sd","ConGasvis_p1","ConGasvis_p2","ConGasvis_sd"
"COLUMN_LABELS","Имя_скважины","Флюид","Корреляция_для_свойств(Pb, Rs, FVF)","Корреляция_вязкости","Флаг_модель_PVT_адаптирована","OilBubpnt","OilSolgor","OilOilfvf","OilOilvis","GasZfact","GasGasfvf","GasGasvis","ConDewpnt","ConCgr","ConZFact","ConGasfvf","ConGasvis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2003_AR","2003_AR","Oil and Water","Lasater","Petroskyetal","Yes","","","","","","","","","","","","","0.96446","-180.944","3.4E+35","1.1793","-13.8804","19.0568","1.08252","-0.14352","1","1.0E-8","0.0080396","1.79906","-0.40638","0.20024","","","","","","","","","","","","","","","","","","","","","","","",""
"2004_AR","2004_AR","Oil and Water","Lasater","Petroskyetal","Yes","","","","","","","","","","","","","0.96446","-180.944","3.4E+35","1.1793","-13.8804","19.0568","1.08252","-0.14352","1","1.0E-8","0.0080396","1.79906","-0.40638","0.20024","","","","","","","","","","","","","","","","","","","","","","","",""
"2005_AR","2005_AR","Oil and Water","Lasater","Petroskyetal","Yes","","","","","","","","","","","","","0.96446","-180.944","3.4E+35","1.1793","-13.8804","19.0568","1.08252","-0.14352","1","1.0E-8","0.0080396","1.79906","-0.40638","0.20024","","","","","","","","","","","","","","","","","","","","","","","",""
"2006_AR","2006_AR","Oil and Water","Standing","Beggsetal","Yes","","","","","","","","","","","","","1.02505","112.789","3.4E+35","0.77487","-4.44963","0.069788","0.80433","0.21075","1","1.0E-8","0.0053252","1.05837","-0.010397","0.00025254","","","","","","","","","","","","","","","","","","","","","","","",""
"2007_AR","2007_AR","Oil and Water","Lasater","Petroskyetal","Yes","","","","","","","","","","","","","0.96446","-180.944","3.4E+35","1.1793","-13.8804","19.0568","1.08252","-0.14352","1","1.0E-8","0.0080396","1.79906","-0.40638","0.20024","","","","","","","","","","","","","","","","","","","","","","","",""
"2009_AR","2009_AR","Oil and Water","Standing","Beggsetal","Yes","","","","","","","","","","","","","1.02505","112.789","3.4E+35","0.77487","-4.44963","0.069788","0.80433","0.21075","1","1.0E-8","0.0053252","1.05837","-0.010397","0.00025254","","","","","","","","","","","","","","","","","","","","","","","",""
"200_URM","200_URM","Oil and Water","Standing","Beggsetal","Yes","","","","","","","","","","","","","1.02505","112.789","3.4E+35","0.77487","-4.44963","0.069788","0.80433","0.21075","1","1.0E-8","0.0053252","1.05837","-0.010397","0.00025254","","","","","","","","","","","","","","","","","","","","","","","",""
"2010_AR","2010_AR","Oil and Water","Standing","Beggsetal","Yes","","","","","","","","","","","","","0.96552","-169.782","3.4E+35","1.08334","-2.25005","5.41886","0.96875","0.038094","1","4.0038","0.0087678","4.36196","-1.49575","0.203","","","","","","","","","","","","","","","","","","","","","","","",""
"2011_AR","2011_AR","Oil and Water","Glaso","Bealetal","Yes","","","","","","","","","","","","","0.749211","-2302.13","0","3.04979","-500.073","204.965","1.14646","-0.125255","1","1.0E-8","0.122406","0.5778","0.0619604","0.116212","","","","","","","","","","","","","","","","","","","","","","","",""
"2011_AR_FON","2011_AR_FON","Oil and Water","Glaso","Bealetal","Yes","","","","","","","","","","","","","0.749211","-2302.13","0","3.04979","-500.073","204.965","1.14646","-0.125255","1","1.0E-8","0.122406","0.5778","0.0619604","0.116212","","","","","","","","","","","","","","","","","","","","","","","",""
