"","INDEX","WELLNAME","MD","TVD","ZENITH"
"COLUMN_LABELS","Индекс","Имя_скважины","Глубина_по_стволу","Глубина_по_вертикали","Зенитный_угол"
"11_1341_AR","11","1341_AR","2910","2725.5","43.431234566529"
"12_1341_AR","12","1341_AR","3240","2956.04","45.684725240295"
"13_1341_AR","13","1341_AR","3270","2973.8","53.70093691344"
"14_1341_AR","14","1341_AR","3300","2989.24","59.024822874179"
"15_1341_AR","15","1341_AR","3360","3015.34","64.214706121688"
"16_1341_AR","16","1341_AR","3410","3034.52","67.443145985426"
"17_1341_AR","17","1341_AR","3450","3046.13","73.127076252125"
"18_1341_AR","18","1341_AR","3520","3061.1","77.651512968968"
"19_1341_AR","19","1341_AR","3525.21","3062.02","79.829179184496"
"0_1342_AR","0","1342_AR","0","0","0.99484484114224"
"1_1342_AR","1","1342_AR","530.72","530.64","0.99484484114224"
"2_1342_AR","2","1342_AR","555.44","555.27","4.8906491024891"
"3_1342_AR","3","1342_AR","629.14","628.15","8.554887574142"
"4_1342_AR","4","1342_AR","2511.25","2466.7","12.350947040254"
"5_1342_AR","5","1342_AR","2609.86","2560.2","18.525976825615"
"6_1342_AR","6","1342_AR","2683.85","2627.99","23.622578593373"
"7_1342_AR","7","1342_AR","2733.11","2670.12","31.211771173317"
"8_1342_AR","8","1342_AR","2769.64","2698.86","38.117120033044"
"9_1342_AR","9","1342_AR","3078.09","2925.57","42.692989354142"
"10_1342_AR","10","1342_AR","3140.17","2967.31","47.750662574943"
"11_1342_AR","11","1342_AR","3177.22","2989.09","53.995113257258"
"12_1342_AR","12","1342_AR","3238.94","3021.45","58.378646061426"
"13_1342_AR","13","1342_AR","3275.89","3037.8","63.737148332854"
"14_1342_AR","14","1342_AR","3310.78","3050.02","69.497783105772"
"15_1342_AR","15","1342_AR","3371.69","3066.83","73.979518770319"
"16_1342_AR","16","1342_AR","3420.72","3076.56","78.553670301336"
"17_1342_AR","17","1342_AR","3470.05","3080.28","85.675190941106"
"18_1342_AR","18","1342_AR","3731","3080.39","89.975847725874"
"19_1342_AR","19","1342_AR","3750","3080.22","90.512653288541"
"0_1350_AR","0","1350_AR","0","0","0.90823312000295"
"1_1350_AR","1","1350_AR","557.17","557.1","0.90823312000295"
"2_1350_AR","2","1350_AR","581.89","581.8","2.3049296793472"
"3_1350_AR","3","1350_AR","927.35","926.52","3.7508712783651"
"4_1350_AR","4","1350_AR","1128.99","1126","8.3939158505629"
"5_1350_AR","5","1350_AR","2430.24","2426.52","1.9192829018681"
"6_1350_AR","6","1350_AR","2479.6","2474.54","13.381040375157"
"7_1350_AR","7","1350_AR","2553.5","2544.76","18.157590504477"
"8_1350_AR","8","1350_AR","2627.42","2611.44","25.57031398496"
"9_1350_AR","9","1350_AR","2701.33","2673.03","33.55964703649"
"10_1350_AR","10","1350_AR","2750.63","2710.16","41.136538797679"
"11_1350_AR","11","1350_AR","3071.22","2938.75","44.518091053366"
"12_1350_AR","12","1350_AR","3145.15","2982.92","53.312011174854"
"13_1350_AR","13","1350_AR","3219.25","3019.97","60"
"14_1350_AR","14","1350_AR","3268.61","3039.9","66.186038687606"
"15_1350_AR","15","1350_AR","3305.67","3051.46","71.824624892864"
"16_1350_AR","16","1350_AR","3410.93","3076.02","76.506974363417"
"17_1350_AR","17","1350_AR","3447.84","3082.49","79.90439256094"
"18_1350_AR","18","1350_AR","3462.59","3085.46","78.383738539246"
"0_1351_AR","0","1351_AR","0","0","0.88572455364773"
"1_1351_AR","1","1351_AR","334.77","334.73","0.88572455364773"
"2_1351_AR","2","1351_AR","359.53","359.4","4.8866946637891"
"3_1351_AR","3","1351_AR","409.07","408.45","8.0652212766292"
"4_1351_AR","4","1351_AR","458.41","456.49","13.181594029967"
"5_1351_AR","5","1351_AR","2608.54","2516.87","16.612878014727"
"6_1351_AR","6","1351_AR","2701.43","2603.22","21.628362455804"
"7_1351_AR","7","1351_AR","2750.73","2647.35","26.474629995582"
"8_1351_AR","8","1351_AR","2800.11","2688.59","33.367921445191"
"9_1351_AR","9","1351_AR","2837.01","2716.91","39.871897829053"
"10_1351_AR","10","1351_AR","3145.25","2949.54","41.000476275662"
"11_1351_AR","11","1351_AR","3182.22","2973.76","49.070812229439"
"12_1351_AR","12","1351_AR","3219.35","2995.77","53.645314782438"
"13_1351_AR","13","1351_AR","3256.32","3015.03","58.603134005694"
"14_1351_AR","14","1351_AR","3293.39","3031.47","63.673530767115"
"15_1351_AR","15","1351_AR","3330.65","3044.35","69.776749292092"
"16_1351_AR","16","1351_AR","3398.53","3063.7","73.437452879022"
"17_1351_AR","17","1351_AR","3484.83","3078.63","80.037641162738"
"18_1351_AR","18","1351_AR","3499.55","3079.44","86.845581884011"
"19_1351_AR","19","1351_AR","3511.6","3080.07","87.003086656615"
"0_135_URM","0","135_URM","0","0","0.55915177293532"
"1_135_URM","1","135_URM","210","209.99","0.55915177293532"
"2_135_URM","2","135_URM","220","219.99","0"
"3_135_URM","3","135_URM","250","249.91","4.1852225195964"
"4_135_URM","4","135_URM","300","299.51","7.2522468650595"
"5_135_URM","5","135_URM","430","427.03","11.209458638798"
"6_135_URM","6","135_URM","480","475.31","15.071960802666"
"7_135_URM","7","135_URM","520","513.03","19.438370662868"
"8_135_URM","8","135_URM","1080","1030.41","22.498004937819"
"9_135_URM","9","135_URM","1130","1077.76","18.737541767368"
"10_135_URM","10","135_URM","1180","1123.49","23.851014528318"
"11_135_URM","11","135_URM","2910","2659.54","27.39068725247"
"12_135_URM","12","135_URM","3080","2805.8","30.643765771547"
"13_135_URM","13","135_URM","3200","2902.73","36.123320749318"
"14_135_URM","14","135_URM","3230","2924.6","43.197374088364"
"15_135_URM","15","135_URM","3260","2944.48","48.496433548788"
"16_135_URM","16","135_URM","3350","2998.11","53.423975056101"
"17_135_URM","17","135_URM","3420","3037.55","55.706760484986"
"18_135_URM","18","135_URM","3430","3042.67","59.202859201756"
"19_135_URM","19","135_URM","3435.2","3045.3","59.617571062331"
"0_141_KLG","0","141_KLG","0","0","0.56592967242483"
"1_141_KLG","1","141_KLG","2050","2049.9","0.56592967242483"
"2_141_KLG","2","141_KLG","2075","2074.9","0"
"3_141_KLG","3","141_KLG","2925","2924.8","0.87888575457535"
"4_141_KLG","4","141_KLG","2950","2949.8","0"
"5_141_KLG","5","141_KLG","3000","2999.8","0"
"6_141_KLG","6","141_KLG","3008","3007.8","0"
"0_147_KLG","0","147_KLG","0","0","1.5508491789698"
"1_147_KLG","1","147_KLG","2730","2729","1.5508491789698"
"2_147_KLG","2","147_KLG","2740","2739","0"
"3_147_KLG","3","147_KLG","3190","3189","0"
"4_147_KLG","4","147_KLG","3200","3199","0"
"0_149_URM","0","149_URM","0","0","0.62146303045476"
"1_149_URM","1","149_URM","170","169.99","0.62146303045476"
"2_149_URM","2","149_URM","180","179.99","0"
"3_149_URM","3","149_URM","370","369.88","1.949746401063"
"4_149_URM","4","149_URM","430","429.33","7.7638236382779"
"5_149_URM","5","149_URM","480","478.1","12.735017033853"
"6_149_URM","6","149_URM","560","554.44","17.398146862199"
"7_149_URM","7","149_URM","610","601.07","21.156195903228"
"8_149_URM","8","149_URM","650","637.04","25.940342464004"
"9_149_URM","9","149_URM","690","671.76","29.772948131433"
"10_149_URM","10","149_URM","730","704.78","34.360783562863"
"11_149_URM","11","149_URM","2970","2499.6","36.749510098646"
"12_149_URM","12","149_URM","3060","2577.9","29.541360500143"
"13_149_URM","13","149_URM","3190","2695.25","25.485752783736"
"14_149_URM","14","149_URM","3280","2778.88","21.686103537619"
"15_149_URM","15","149_URM","3320","2817.2","16.664571373821"
"16_149_URM","16","149_URM","3350","2846.53","12.131821296253"
"17_149_URM","17","149_URM","3440","2935.71","7.7402251899835"
"18_149_URM","18","149_URM","3534","3029.24","5.7319679651993"
"19_149_URM","19","149_URM","3584","3079.01","5.4977269478125"
"0_156_URM","0","156_URM","0","-122.25","0.55915177293532"
"1_156_URM","1","156_URM","210","87.74","0.55915177293532"
"2_156_URM","2","156_URM","220","97.74","0"
"3_156_URM","3","156_URM","510","387.63","1.5781515366284"
"4_156_URM","4","156_URM","580","457.01","7.6314230149611"
"5_156_URM","5","156_URM","640","515.62","12.356953679463"
"6_156_URM","6","156_URM","690","563.29","17.560290459548"
"7_156_URM","7","156_URM","2550","2300.36","20.94746861534"
"8_156_URM","8","156_URM","2610","2354.31","25.951255429408"
"9_156_URM","9","156_URM","2720","2450.02","29.530794560271"
"10_156_URM","10","156_URM","2770","2490.89","35.174635639774"
"11_156_URM","11","156_URM","2810","2521.63","39.780619411055"
"12_156_URM","12","156_URM","2850","2550.39","44.02801981293"
"13_156_URM","13","156_URM","2890","2576.84","48.604725291004"
"14_156_URM","14","156_URM","2940","2606.74","53.273207915737"
